Labour Force Population	MDAs Revenue	Number of Records	Othregna	Tax type	Tax value	Population density	Population	Regname	Total Employed	Total Unemployed	Total tax	Total	Km^2	Literacy Rate (In%)
1556976.408	224949073.2	1	North West	Road Tax	4500000	88.49296196	3256541	Kebbi	1243932.758	313043.6493	979871750	1204820823	36800	25.3
2463101.668	485148996.4	1	North Central	Road Tax	102681300	111.0864814	3314043	Kogi	1977449.079	485652.5884	5413880789	5899029785	29833	33.5
1612475.845	5921421121	1	North Central	Road Tax	123984964.3	64.23226069	2365353	Kwara	1271808.452	340667.3924	1989002479	7910423599	36825	49.3
7478255.625	9085614655	1	South West	Road Tax	3016110202	2724.54559	9113605	Lagos	6389903.64	1088351.985	82847403074	91933017729	3345	92
1366207.329	1459932264	1	North Central	Road Tax	52439527.3	68.93745621	1869377	Nasarawa	991996.2149	374211.1136	1546931968	3006864232	27117	41.9
1917789.534	119875549.6	1	North Central	Road Tax	75941341	51.78911253	3954772	Niger	1517904.995	399884.5383	2020167699	2140043248	76363	37.5
3116782.024	5656348798	1	South West	Road Tax	237107137.8	223.7883307	3751140	Ogun	2605505.369	511276.6551	17630145501	23286494299	16762	62.8
2502481.879	1171772395	1	South West	Road Tax	232435825.9	223.2823871	3460877	Ondo	2146218.797	356263.0813	4362944621	5534717017	15500	66.3
2466518.617	2347884105	1	South West	Road Tax	38721829.24	369.3610421	3416959	Osun	2218203.01	248315.6074	1605789080	3953673185	9251	80
4032123.495	1079049014	1	South West	Road Tax	243713725.9	196.1374148	5580894	Oyo	3615293.179	416830.3156	4864619529	5943668543	28454	62.9
2084700.311	733577992.9	1	North Central	Road Tax	117335050	103.7275903	3206531	Plateau	1463885.329	620814.9812	2636724187	3370302180	30913	46.6
4601135.39	1314112363	1	South South	Road Tax	1100367075	469.3152478	5198605	Rivers	2927144.417	1673990.973	29737420315	31051532678	11077	72.8
1672919.586	513150438	1	North West	Road Tax	24711557	142.5586571	3702676	Sokoto	1237217.781	435701.805	1765704349	2278854787	25973	30.1
2207684.201	748276538.4	1	North East	Road Tax	28730000	42.12729242	2294800	Taraba	1788779.5	418904.7009	701711972.5	1449988511	54473	23.3
1113650.258	233341832.4	1	North East	Road Tax	17427375	51.01619709	2321339	Yobe	791184.3512	322465.9073	903633369.2	1136975202	45502	26.6
1427042.24	411905947	1	North West	Road Tax	717200000	82.46247674	3278873	Zamfara	1170525.161	256517.0789	2970991737	3382897684	39762	33.9
